IncidenceVerbs,IncidenceAdj,IncidenceNouns,IncidenceCon,IncidencePron,ContentIncidence,ContentDiversity,label
0.041,0.033,0.055,0.038,0.007,0.129,0.6056338028169014,Tecnopop
0.081,0.03,0.076,0.041,0.047,0.187,0.5282485875706214,Tecnopop
0.079,0.043,0.066,0.049,0.06,0.188,0.5053763440860215,Tecnopop
0.051,0.017,0.048,0.033,0.032,0.116,0.4496124031007752,Tecnopop
0.072,0.011,0.099,0.061,0.029,0.182,0.5481927710843374,Tecnopop
0.111,0.041,0.094,0.07,0.039,0.246,0.5146443514644351,Tecnopop
0.07,0.044,0.086,0.041,0.059,0.2,0.5141388174807198,Tecnopop
0.054,0.032,0.081,0.06,0.03,0.167,0.48265895953757226,Tecnopop
0.104,0.039,0.102,0.076,0.056,0.245,0.5875299760191847,Tecnopop
0.085,0.048,0.118,0.081,0.046,0.251,0.497029702970297,Tecnopop
0.089,0.043,0.104,0.103,0.059,0.236,0.458252427184466,Tecnopop
0.045,0.083,0.084,0.037,0.038,0.212,0.5564304461942258,Tecnopop
0.088,0.041,0.106,0.07,0.064,0.235,0.4885654885654886,Tecnopop
0.104,0.032,0.111,0.067,0.058,0.247,0.5071868583162218,Tecnopop
0.097,0.047,0.09,0.047,0.062,0.234,0.5652173913043478,Tecnopop
0.027,0.023,0.046,0.03,0.018,0.096,0.5245901639344263,Tecnopop
0.067,0.009,0.048,0.035,0.035,0.124,0.4412811387900356,Tecnopop
0.064,0.006,0.045,0.076,0.074,0.115,0.3194444444444444,Tecnopop
0.085,0.028,0.087,0.055,0.039,0.2,0.5263157894736842,Tecnopop
0.08,0.023,0.051,0.051,0.049,0.154,0.4666666666666667,Tecnopop
0.042,0.026,0.062,0.044,0.023,0.13,0.4693140794223827,Tecnopop
0.055,0.045,0.152,0.061,0.048,0.252,0.7477744807121661,Tecnopop
0.11,0.034,0.146,0.109,0.093,0.29,0.4882154882154882,Tecnopop
0.06,0.035,0.097,0.039,0.031,0.192,0.5647058823529412,Tecnopop
0.022,0.024,0.04,0.016,0.031,0.086,0.46994535519125685,Tecnopop
0.03,0.007,0.051,0.03,0.032,0.088,0.46808510638297873,Tecnopop
0.094,0.035,0.09,0.063,0.085,0.219,0.5093023255813953,Tecnopop
0.066,0.019,0.041,0.04,0.014,0.126,0.5185185185185185,Tecnopop
0.063,0.015,0.062,0.052,0.032,0.14,0.42813455657492355,Tecnopop
0.064,0.035,0.112,0.055,0.042,0.211,0.5096618357487923,Tecnopop
0.048,0.013,0.042,0.048,0.01,0.103,0.3843283582089552,Tecnopop
0.064,0.014,0.077,0.064,0.059,0.155,0.41778975741239893,Tecnopop
0.08,0.026,0.091,0.049,0.029,0.197,0.5295698924731183,Tecnopop
0.052,0.014,0.044,0.045,0.023,0.11,0.5263157894736842,Tecnopop
0.047,0.017,0.048,0.036,0.036,0.112,0.4666666666666667,Tecnopop
0.052,0.024,0.057,0.031,0.018,0.133,0.4925925925925926,Tecnopop
0.098,0.054,0.123,0.088,0.043,0.275,0.5027422303473492,Tecnopop
0.045,0.024,0.063,0.042,0.036,0.132,0.4943820224719101,Tecnopop
0.075,0.012,0.087,0.063,0.033,0.174,0.4915254237288136,Tecnopop
0.042,0.026,0.078,0.058,0.044,0.146,0.48344370860927155,Tecnopop
0.06,0.026,0.072,0.057,0.05,0.158,0.531986531986532,Tecnopop
0.108,0.031,0.147,0.122,0.073,0.286,0.49566724436741766,Tecnopop
0.071,0.044,0.055,0.049,0.035,0.17,0.49853372434017595,Tecnopop
0.079,0.031,0.094,0.048,0.033,0.204,0.5244215938303342,Tecnopop
0.113,0.041,0.102,0.111,0.06,0.256,0.5,Tecnopop
