IncidenceVerbs,IncidenceAdj,IncidenceNouns,IncidenceCon,IncidencePron,ContentIncidence,ContentDiversity,label
0.032,0.008,0.04,0.013,0.01,0.08,0.6153846153846154,Heavy Metal
0.07,0.04,0.047,0.068,0.009,0.157,0.511400651465798,Heavy Metal
0.075,0.008,0.057,0.042,0.027,0.14,0.4682274247491639,Heavy Metal
0.049,0.03,0.05,0.028,0.032,0.129,0.5058823529411764,Heavy Metal
0.03,0.011,0.042,0.051,0.012,0.083,0.4256410256410256,Heavy Metal
0.043,0.021,0.041,0.039,0.008,0.105,0.4430379746835443,Heavy Metal
0.044,0.021,0.036,0.029,0.011,0.101,0.5233160621761658,Heavy Metal
0.023,0.009,0.019,0.009,0.012,0.051,0.49514563106796117,Heavy Metal
0.029,0.008,0.026,0.022,0.012,0.063,0.4228187919463087,Heavy Metal
0.017,0.01,0.023,0.022,0.008,0.05,0.46296296296296297,Heavy Metal
0.045,0.012,0.029,0.033,0.02,0.086,0.45989304812834225,Heavy Metal
0.018,0.022,0.063,0.037,0.01,0.103,0.515,Heavy Metal
0.022,0.008,0.024,0.023,0.01,0.054,0.47368421052631576,Heavy Metal
0.032,0.01,0.036,0.013,0.019,0.078,0.4968152866242038,Heavy Metal
0.045,0.023,0.047,0.05,0.021,0.115,0.48523206751054854,Heavy Metal
0.059,0.02,0.051,0.042,0.037,0.13,0.45936395759717313,Heavy Metal
0.024,0.009,0.021,0.026,0.012,0.054,0.42857142857142855,Heavy Metal
0.061,0.03,0.063,0.027,0.039,0.154,0.47678018575851394,Heavy Metal
0.039,0.011,0.054,0.043,0.017,0.104,0.5502645502645502,Heavy Metal
0.03,0.017,0.042,0.045,0.006,0.089,0.5174418604651163,Heavy Metal
0.107,0.049,0.094,0.082,0.046,0.25,0.49504950495049505,Heavy Metal
0.078,0.025,0.071,0.052,0.021,0.174,0.5471698113207547,Heavy Metal
0.043,0.014,0.041,0.039,0.009,0.098,0.49,Heavy Metal
0.019,0.004,0.025,0.021,0.005,0.048,0.44036697247706424,Heavy Metal
0.092,0.044,0.108,0.099,0.031,0.244,0.5507900677200903,Heavy Metal
0.022,0.007,0.016,0.014,0.012,0.045,0.4326923076923077,Heavy Metal
0.035,0.019,0.032,0.021,0.015,0.086,0.44329896907216493,Heavy Metal
0.056,0.016,0.057,0.052,0.013,0.129,0.516,Heavy Metal
0.027,0.013,0.029,0.031,0.012,0.069,0.4726027397260274,Heavy Metal
0.036,0.012,0.05,0.049,0.007,0.098,0.5798816568047337,Heavy Metal
0.041,0.014,0.036,0.034,0.02,0.091,0.4739583333333333,Heavy Metal
0.026,0.019,0.042,0.035,0.008,0.087,0.635036496350365,Heavy Metal
0.033,0.019,0.027,0.017,0.011,0.079,0.5302013422818792,Heavy Metal
0.04,0.016,0.038,0.036,0.014,0.094,0.45410628019323673,Heavy Metal
0.054,0.026,0.073,0.036,0.019,0.153,0.5666666666666667,Heavy Metal
0.018,0.008,0.028,0.029,0.01,0.054,0.421875,Heavy Metal
0.015,0.011,0.035,0.038,0.011,0.061,0.4420289855072464,Heavy Metal
0.03,0.017,0.05,0.045,0.031,0.097,0.42543859649122806,Heavy Metal
0.04,0.007,0.02,0.017,0.025,0.067,0.42948717948717946,Heavy Metal
0.076,0.015,0.052,0.044,0.041,0.143,0.4642857142857143,Heavy Metal
0.025,0.007,0.046,0.03,0.01,0.078,0.4588235294117647,Heavy Metal
0.058,0.024,0.049,0.031,0.025,0.131,0.4924812030075188,Heavy Metal
0.061,0.026,0.052,0.05,0.034,0.139,0.4602649006622517,Heavy Metal
0.03,0.008,0.025,0.013,0.017,0.063,0.4666666666666667,Heavy Metal
0.047,0.018,0.022,0.028,0.038,0.087,0.43283582089552236,Heavy Metal
0.041,0.009,0.05,0.031,0.023,0.1,0.46296296296296297,Heavy Metal
0.028,0.011,0.034,0.028,0.011,0.073,0.5,Heavy Metal
0.038,0.014,0.036,0.034,0.007,0.088,0.5534591194968553,Heavy Metal
0.034,0.012,0.048,0.03,0.011,0.094,0.618421052631579,Heavy Metal
0.048,0.017,0.047,0.037,0.008,0.112,0.5258215962441315,Heavy Metal
0.04,0.008,0.065,0.064,0.017,0.113,0.4329501915708812,Heavy Metal
0.026,0.006,0.036,0.033,0.003,0.068,0.5811965811965812,Heavy Metal
0.027,0.01,0.038,0.02,0.003,0.075,0.635593220338983,Heavy Metal
0.029,0.011,0.03,0.017,0.008,0.07,0.6194690265486725,Heavy Metal
0.063,0.009,0.037,0.025,0.015,0.109,0.5240384615384616,Heavy Metal
0.034,0.029,0.047,0.04,0.0,0.11,0.5555555555555556,Heavy Metal
0.042,0.026,0.075,0.063,0.024,0.143,0.5958333333333333,Heavy Metal
0.029,0.002,0.026,0.017,0.016,0.057,0.5181818181818182,Heavy Metal
