nn,nn_params,word_embeddings_params,accuracy,f1_macro,f1_weighted,Pop Rock_precision,Pop Rock_recall,Pop Rock_f1_score,Pop Rock_samples,Power-Pop_precision,Power-Pop_recall,Power-Pop_f1_score,Power-Pop_samples,Tecnopop_precision,Tecnopop_recall,Tecnopop_f1_score,Tecnopop_samples,total_samples
lstm,Embedding_out_dim = 300| LSTM_units=50,custom_pop_sg_5_5_300d,0.61,0.32,0.52,0.63,0.93,0.75,1651,0.05,0.01,0.01,349,0.45,0.12,0.18,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=20,custom_pop_sg_5_10_300d,0.62,0.33,0.52,0.63,0.93,0.75,1651,0.0,0.0,0.0,349,0.44,0.15,0.23,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_pop_sg_5_10_100d,0.59,0.33,0.52,0.63,0.89,0.74,1651,0.07,0.01,0.01,349,0.37,0.17,0.23,651,2651
lstm,Embedding_out_dim = 100| LSTM_units=20,custom_pop_sg_50_10_100d,0.61,0.31,0.51,0.63,0.94,0.76,1651,0.02,0.0,0.01,349,0.46,0.1,0.16,651,2651
gru,Embedding_out_dim = 100| GRU_units=20,custom_pop_sg_50_10_100d,0.63,0.31,0.51,0.63,0.97,0.76,1651,0.14,0.01,0.01,349,0.52,0.09,0.15,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=20,custom_pop_cbow_5_5_300d,0.57,0.32,0.51,0.63,0.83,0.72,1651,0.04,0.0,0.01,349,0.29,0.2,0.24,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=20,custom_pop_fasttext_50_5_300d,0.62,0.3,0.51,0.63,0.97,0.76,1651,0.05,0.0,0.01,349,0.5,0.07,0.13,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=100,custom_pop_sg_5_10_300d,0.61,0.3,0.51,0.63,0.94,0.75,1651,0.04,0.01,0.01,349,0.42,0.08,0.14,651,2651
gru,Embedding_out_dim = 100| GRU_units=10,custom_pop_cbow_50_10_100d,0.62,0.3,0.51,0.63,0.97,0.76,1651,0.08,0.01,0.02,349,0.54,0.07,0.12,651,2651
lstm,Embedding_out_dim = 100| LSTM_units=70,custom_pop_cbow_50_5_100d,0.62,0.31,0.51,0.63,0.96,0.76,1651,0.08,0.01,0.02,349,0.48,0.08,0.14,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_fasttext_5_10_100d,0.54,0.35,0.51,0.64,0.76,0.69,1651,0.16,0.07,0.1,349,0.29,0.23,0.25,651,2651
gru,Embedding_out_dim = 100| GRU_units=70,custom_pop_cbow_5_10_100d,0.63,0.3,0.51,0.63,0.98,0.77,1651,0.33,0.0,0.01,349,0.53,0.07,0.13,651,2651
lstm,Embedding_out_dim = 100| LSTM_units=100,custom_pop_fasttext_50_10_100d,0.6,0.3,0.51,0.63,0.93,0.75,1651,0.05,0.01,0.02,349,0.46,0.08,0.14,651,2651
gru,Embedding_out_dim = 100| GRU_units=50,custom_pop_fasttext_5_5_100d,0.62,0.3,0.51,0.63,0.96,0.76,1651,0.0,0.0,0.0,349,0.47,0.09,0.15,651,2651
gru,Embedding_out_dim = 300| GRU_units=100,custom_pop_fasttext_50_10_300d,0.62,0.3,0.51,0.63,0.96,0.76,1651,0.02,0.0,0.01,349,0.53,0.07,0.13,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=100,custom_pop_sg_50_5_300d,0.61,0.31,0.51,0.63,0.94,0.75,1651,0.04,0.01,0.01,349,0.43,0.1,0.16,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=50,custom_pop_fasttext_50_10_300d,0.61,0.29,0.5,0.63,0.96,0.76,1651,0.04,0.01,0.01,349,0.46,0.05,0.09,651,2651
gru,Embedding_out_dim = 300| GRU_units=50,custom_pop_sg_5_10_300d,0.62,0.29,0.5,0.63,0.97,0.76,1651,0.11,0.01,0.01,349,0.48,0.06,0.11,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=70,custom_pop_fasttext_50_5_300d,0.62,0.29,0.5,0.63,0.97,0.76,1651,0.08,0.01,0.02,349,0.5,0.04,0.08,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_pop_cbow_50_5_300d,0.59,0.3,0.5,0.63,0.92,0.75,1651,0.05,0.01,0.01,349,0.31,0.08,0.13,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_pop_cbow_50_5_100d,0.57,0.31,0.5,0.62,0.85,0.72,1651,0.06,0.02,0.03,349,0.31,0.14,0.19,651,2651
gru,Embedding_out_dim = 100| GRU_units=100,custom_pop_cbow_5_5_100d,0.62,0.28,0.5,0.63,0.97,0.76,1651,0.0,0.0,0.0,349,0.45,0.05,0.09,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_pop_cbow_50_10_300d,0.56,0.32,0.5,0.63,0.79,0.7,1651,0.0,0.0,0.0,349,0.29,0.26,0.27,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=100,custom_pop_sg_5_5_300d,0.58,0.32,0.5,0.62,0.86,0.72,1651,0.12,0.01,0.03,349,0.3,0.16,0.21,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_pop_fasttext_50_5_100d,0.57,0.31,0.5,0.62,0.86,0.72,1651,0.1,0.01,0.02,349,0.26,0.14,0.18,651,2651
gru,Embedding_out_dim = 300| GRU_units=50,custom_pop_cbow_5_10_300d,0.61,0.29,0.5,0.63,0.95,0.76,1651,0.01,0.0,0.0,349,0.4,0.06,0.1,651,2651
gru,Embedding_out_dim = 300| GRU_units=100,custom_pop_cbow_5_10_300d,0.61,0.3,0.5,0.63,0.96,0.76,1651,0.07,0.01,0.02,349,0.5,0.06,0.11,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=3,custom_pop_sg_50_5_100d,0.57,0.32,0.5,0.63,0.87,0.73,1651,0.17,0.11,0.14,349,0.34,0.06,0.1,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=4,custom_pop_fasttext_5_10_100d,0.59,0.3,0.5,0.63,0.91,0.74,1651,0.15,0.05,0.08,349,0.3,0.06,0.09,651,2651
lstm,Embedding_out_dim = 100| LSTM_units=10,custom_pop_fasttext_50_5_100d,0.62,0.29,0.5,0.63,0.97,0.76,1651,0.0,0.0,0.0,349,0.43,0.07,0.11,651,2651
lstm,Embedding_out_dim = 100| LSTM_units=100,custom_pop_cbow_50_10_100d,0.62,0.29,0.5,0.63,0.97,0.76,1651,0.08,0.01,0.01,349,0.48,0.05,0.09,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=10,custom_pop_cbow_5_5_300d,0.6,0.31,0.5,0.63,0.93,0.75,1651,0.13,0.03,0.05,349,0.37,0.07,0.12,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=10,custom_pop_fasttext_50_5_100d,0.6,0.31,0.5,0.63,0.92,0.75,1651,0.18,0.04,0.07,349,0.28,0.07,0.11,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=50,custom_pop_fasttext_5_5_300d,0.59,0.31,0.5,0.63,0.88,0.73,1651,0.05,0.0,0.01,349,0.31,0.14,0.2,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=70,custom_pop_sg_50_5_300d,0.55,0.33,0.5,0.63,0.81,0.71,1651,0.13,0.05,0.07,349,0.28,0.16,0.21,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=3,custom_pop_fasttext_50_5_300d,0.57,0.31,0.5,0.63,0.87,0.73,1651,0.14,0.03,0.05,349,0.26,0.11,0.15,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=20,custom_pop_sg_50_10_100d,0.58,0.3,0.5,0.62,0.88,0.73,1651,0.12,0.01,0.02,349,0.25,0.11,0.15,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=70,custom_pop_fasttext_50_10_300d,0.57,0.32,0.5,0.63,0.83,0.72,1651,0.0,0.0,0.0,349,0.29,0.2,0.24,651,2651
lstm,Embedding_out_dim = 100| LSTM_units=20,custom_pop_fasttext_5_5_100d,0.62,0.29,0.5,0.63,0.97,0.76,1651,0.0,0.0,0.0,349,0.44,0.06,0.11,651,2651
lstm,Embedding_out_dim = 100| LSTM_units=50,custom_pop_fasttext_5_10_100d,0.62,0.29,0.5,0.63,0.97,0.76,1651,0.0,0.0,0.0,349,0.43,0.07,0.12,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=3,custom_pop_fasttext_50_10_300d,0.6,0.3,0.5,0.63,0.93,0.75,1651,0.17,0.04,0.07,349,0.32,0.05,0.09,651,2651
lstm,Embedding_out_dim = 100| LSTM_units=70,custom_pop_sg_50_5_100d,0.59,0.3,0.5,0.63,0.92,0.75,1651,0.06,0.03,0.04,349,0.43,0.06,0.1,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=50,custom_pop_sg_50_5_300d,0.62,0.29,0.5,0.63,0.98,0.76,1651,0.12,0.0,0.01,349,0.51,0.05,0.09,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=20,custom_pop_sg_5_10_100d,0.56,0.32,0.5,0.62,0.84,0.72,1651,0.11,0.03,0.05,349,0.27,0.14,0.18,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=10,custom_pop_fasttext_50_10_300d,0.53,0.33,0.5,0.63,0.75,0.68,1651,0.11,0.05,0.06,349,0.28,0.23,0.25,651,2651
gru,Embedding_out_dim = 100| GRU_units=100,custom_pop_sg_5_5_100d,0.62,0.3,0.5,0.63,0.97,0.76,1651,0.15,0.01,0.01,349,0.45,0.06,0.11,651,2651
gru,Embedding_out_dim = 100| GRU_units=50,custom_pop_fasttext_5_10_100d,0.61,0.29,0.5,0.63,0.97,0.76,1651,0.06,0.01,0.02,349,0.49,0.05,0.08,651,2651
gru,Embedding_out_dim = 100| GRU_units=10,custom_pop_sg_5_10_100d,0.62,0.29,0.5,0.63,0.96,0.76,1651,0.06,0.01,0.01,349,0.46,0.06,0.11,651,2651
gru,Embedding_out_dim = 300| GRU_units=10,custom_pop_fasttext_5_5_300d,0.61,0.28,0.5,0.63,0.97,0.76,1651,0.02,0.0,0.0,349,0.5,0.04,0.08,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 300| GRU_units=50,custom_pop_sg_5_10_300d,0.61,0.29,0.5,0.62,0.96,0.76,1651,0.09,0.0,0.01,349,0.37,0.05,0.09,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_pop_sg_50_5_300d,0.57,0.32,0.5,0.63,0.86,0.73,1651,0.15,0.07,0.1,349,0.27,0.09,0.14,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_pop_sg_50_5_300d,0.56,0.31,0.5,0.63,0.83,0.71,1651,0.18,0.02,0.03,349,0.24,0.16,0.19,651,2651
gru,Embedding_out_dim = 100| GRU_units=70,custom_pop_sg_50_5_100d,0.62,0.29,0.5,0.63,0.97,0.76,1651,0.08,0.01,0.02,349,0.46,0.05,0.09,651,2651
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=5,custom_pop_sg_5_5_300d,0.6,0.3,0.5,0.63,0.92,0.75,1651,0.09,0.0,0.01,349,0.28,0.1,0.15,651,2651
gru,Embedding_out_dim = 300| GRU_units=70,custom_pop_fasttext_50_5_300d,0.61,0.29,0.5,0.63,0.96,0.76,1651,0.04,0.01,0.01,349,0.47,0.05,0.09,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_sg_5_10_100d,0.58,0.31,0.5,0.63,0.87,0.73,1651,0.04,0.0,0.01,349,0.26,0.14,0.18,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_pop_cbow_5_10_300d,0.59,0.3,0.5,0.63,0.92,0.75,1651,0.14,0.01,0.02,349,0.26,0.08,0.13,651,2651
gru,Embedding_out_dim = 300| GRU_units=100,custom_pop_fasttext_50_5_300d,0.62,0.29,0.5,0.63,0.97,0.76,1651,0.05,0.01,0.01,349,0.48,0.05,0.09,651,2651
gru,Embedding_out_dim = 300| GRU_units=70,custom_pop_fasttext_5_10_300d,0.61,0.29,0.5,0.63,0.96,0.76,1651,0.04,0.01,0.01,349,0.42,0.05,0.1,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_pop_cbow_5_10_300d,0.56,0.32,0.5,0.64,0.84,0.72,1651,0.08,0.04,0.06,349,0.29,0.13,0.18,651,2651
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_pop_cbow_5_10_300d,0.56,0.31,0.5,0.63,0.82,0.71,1651,0.11,0.01,0.01,349,0.27,0.19,0.22,651,2651
gru,Embedding_out_dim = 100| GRU_units=50,custom_pop_sg_50_5_100d,0.61,0.29,0.5,0.63,0.96,0.76,1651,0.03,0.0,0.01,349,0.4,0.06,0.1,651,2651
gru,Embedding_out_dim = 100| GRU_units=70,custom_pop_sg_50_10_100d,0.62,0.29,0.5,0.63,0.97,0.76,1651,0.1,0.01,0.02,349,0.49,0.04,0.08,651,2651
gru,Embedding_out_dim = 100| GRU_units=70,custom_pop_fasttext_5_10_100d,0.61,0.29,0.5,0.63,0.96,0.76,1651,0.07,0.01,0.01,349,0.42,0.05,0.09,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_pop_cbow_5_10_100d,0.56,0.31,0.5,0.62,0.82,0.71,1651,0.0,0.0,0.0,349,0.27,0.19,0.22,651,2651
gru,Embedding_out_dim = 300| GRU_units=20,custom_pop_cbow_50_5_300d,0.61,0.29,0.5,0.63,0.96,0.76,1651,0.06,0.01,0.02,349,0.5,0.04,0.08,651,2651
gru,Embedding_out_dim = 300| GRU_units=50,custom_pop_fasttext_50_5_300d,0.61,0.3,0.5,0.63,0.96,0.76,1651,0.06,0.01,0.02,349,0.49,0.07,0.12,651,2651
gru,Embedding_out_dim = 300| GRU_units=20,custom_pop_fasttext_50_5_300d,0.61,0.29,0.5,0.63,0.96,0.76,1651,0.06,0.01,0.02,349,0.59,0.05,0.09,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=50,custom_pop_sg_5_10_300d,0.52,0.32,0.49,0.63,0.73,0.67,1651,0.1,0.02,0.03,349,0.26,0.27,0.27,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=100,custom_pop_sg_5_5_100d,0.61,0.27,0.49,0.62,0.97,0.76,1651,0.25,0.0,0.01,349,0.29,0.03,0.06,651,2651
gru,Embedding_out_dim = 300| GRU_units=100,custom_pop_sg_5_5_300d,0.62,0.27,0.49,0.63,0.99,0.77,1651,0.0,0.0,0.0,349,0.58,0.03,0.06,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=70,custom_pop_cbow_50_5_300d,0.59,0.29,0.49,0.63,0.93,0.75,1651,0.05,0.02,0.03,349,0.5,0.04,0.08,651,2651
gru,Embedding_out_dim = 100| GRU_units=100,custom_pop_cbow_50_10_100d,0.61,0.28,0.49,0.63,0.96,0.76,1651,0.04,0.01,0.01,349,0.39,0.05,0.08,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=70,custom_pop_sg_5_5_300d,0.57,0.31,0.49,0.63,0.87,0.73,1651,0.12,0.05,0.07,349,0.26,0.08,0.12,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=20,custom_pop_fasttext_5_5_300d,0.59,0.29,0.49,0.62,0.93,0.75,1651,0.11,0.03,0.04,349,0.3,0.06,0.09,651,2651
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_sg_5_10_100d,0.58,0.3,0.49,0.62,0.89,0.73,1651,0.0,0.0,0.0,349,0.25,0.11,0.15,651,2651
lstm_return_sequences_max_pooling,Embedding_out_dim = 100| LSTM_units=50,custom_pop_fasttext_50_5_100d,0.53,0.32,0.49,0.63,0.75,0.68,1651,0.07,0.0,0.01,349,0.26,0.27,0.26,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=50,custom_pop_fasttext_5_10_300d,0.61,0.28,0.49,0.63,0.97,0.76,1651,0.02,0.0,0.01,349,0.45,0.03,0.06,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=10,custom_pop_fasttext_5_10_300d,0.62,0.28,0.49,0.63,0.98,0.76,1651,0.08,0.01,0.01,349,0.39,0.03,0.05,651,2651
lstm,Embedding_out_dim = 300| LSTM_units=50,custom_pop_sg_50_10_300d,0.61,0.27,0.49,0.63,0.97,0.76,1651,0.04,0.01,0.01,349,0.68,0.02,0.04,651,2651
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=50,custom_pop_sg_5_5_100d,0.58,0.3,0.49,0.62,0.89,0.73,1651,0.12,0.05,0.07,349,0.3,0.05,0.09,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=3,custom_pop_cbow_5_10_100d,0.61,0.28,0.49,0.63,0.97,0.76,1651,0.21,0.01,0.02,349,0.28,0.04,0.06,651,2651
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=5,custom_pop_cbow_50_5_100d,0.51,0.33,0.49,0.64,0.67,0.65,1651,0.09,0.01,0.02,349,0.28,0.38,0.32,651,2651
