nn,nn_params,word_embeddings_params,accuracy,f1_macro,f1_weighted,Heavy Metal_precision,Heavy Metal_recall,Heavy Metal_f1_score,Heavy Metal_samples,Punk Rock_precision,Punk Rock_recall,Punk Rock_f1_score,Punk Rock_samples,Soft Rock_precision,Soft Rock_recall,Soft Rock_f1_score,Soft Rock_samples,total_samples
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_fasttext_5_5_100d,0.45,0.33,0.42,0.51,0.6,0.55,1911,0.37,0.41,0.39,1409,0.19,0.03,0.06,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=70,custom_rock_fasttext_50_5_100d,0.47,0.32,0.42,0.5,0.71,0.59,1911,0.39,0.33,0.36,1409,0.15,0.01,0.02,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=10,custom_rock_sg_50_10_300d,0.46,0.33,0.42,0.52,0.59,0.55,1911,0.38,0.46,0.42,1409,0.2,0.01,0.02,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=100,custom_rock_fasttext_50_10_300d,0.46,0.33,0.42,0.51,0.72,0.6,1911,0.4,0.28,0.33,1409,0.13,0.05,0.07,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=100,custom_rock_sg_5_5_300d,0.44,0.33,0.41,0.49,0.59,0.54,1911,0.4,0.41,0.4,1409,0.11,0.03,0.05,587,3907
lstm_return_sequences_max_pooling,Embedding_out_dim = 300| LSTM_units=10,custom_rock_cbow_50_5_300d,0.5,0.3,0.41,0.51,0.88,0.65,1911,0.42,0.18,0.25,1409,0.0,0.0,0.0,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_fasttext_50_5_300d,0.43,0.33,0.41,0.53,0.47,0.5,1911,0.38,0.55,0.45,1409,0.14,0.04,0.06,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=70,custom_rock_fasttext_50_10_300d,0.44,0.32,0.41,0.5,0.58,0.54,1911,0.37,0.42,0.4,1409,0.09,0.01,0.02,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 300| LSTM_units=100,custom_rock_fasttext_5_5_300d,0.44,0.32,0.41,0.49,0.56,0.52,1911,0.39,0.47,0.42,1409,0.0,0.0,0.0,587,3907
gru_return_sequences_max_pooling,Embedding_out_dim = 100| GRU_units=100,custom_rock_fasttext_5_5_100d,0.45,0.32,0.41,0.5,0.69,0.58,1911,0.37,0.28,0.32,1409,0.16,0.05,0.07,587,3907
lstm_return_sequences_average_pooling,Embedding_out_dim = 100| LSTM_units=100,custom_rock_sg_50_10_100d,0.41,0.35,0.41,0.53,0.45,0.49,1911,0.4,0.45,0.42,1409,0.14,0.17,0.16,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=100| Conv1D_kernel_size=5,custom_rock_sg_50_10_100d,0.44,0.31,0.4,0.49,0.64,0.55,1911,0.37,0.33,0.35,1409,0.12,0.02,0.03,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=2,custom_rock_fasttext_5_10_100d,0.45,0.3,0.4,0.49,0.71,0.58,1911,0.37,0.29,0.32,1409,0.0,0.0,0.0,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=100| Conv1D_kernel_size=2,custom_rock_fasttext_5_5_300d,0.42,0.32,0.4,0.49,0.49,0.49,1911,0.37,0.48,0.42,1409,0.13,0.03,0.05,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=50,custom_rock_sg_5_10_300d,0.42,0.32,0.4,0.48,0.56,0.52,1911,0.36,0.4,0.38,1409,0.18,0.04,0.06,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 300| GRU_units=50,custom_rock_fasttext_50_5_300d,0.43,0.32,0.4,0.49,0.53,0.51,1911,0.37,0.46,0.41,1409,0.17,0.03,0.04,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=70,custom_rock_fasttext_50_5_100d,0.4,0.33,0.4,0.49,0.55,0.52,1911,0.35,0.33,0.34,1409,0.14,0.11,0.12,587,3907
cnn,Embedding_out_dim = 100| Conv1D_filters=50| Conv1D_kernel_size=4,custom_rock_sg_50_10_100d,0.44,0.3,0.4,0.48,0.63,0.55,1911,0.36,0.36,0.36,1409,0.03,0.0,0.0,587,3907
cnn,Embedding_out_dim = 300| Conv1D_filters=50| Conv1D_kernel_size=2,custom_rock_cbow_50_5_300d,0.4,0.35,0.4,0.52,0.37,0.43,1911,0.37,0.55,0.45,1409,0.19,0.15,0.17,587,3907
gru_return_sequences_average_pooling,Embedding_out_dim = 100| GRU_units=20,custom_rock_cbow_5_5_100d,0.4,0.35,0.4,0.5,0.48,0.49,1911,0.39,0.37,0.38,1409,0.17,0.21,0.19,587,3907
