model,params,representation,accuracy,f1_macro,f1_weighted,Heavy Metal_precision,Heavy Metal_recall,Heavy Metal_f1_score,Heavy Metal_samples,Punk Rock_precision,Punk Rock_recall,Punk Rock_f1_score,Punk Rock_samples,Soft Rock_precision,Soft Rock_recall,Soft Rock_f1_score,Soft Rock_samples,total_samples
svm,{'C': 1.0| 'kernel': 'rbf'| 'max_iter': 50000},BoW|PoS,0.71,0.65,0.7,0.75,0.8,0.77,1911,0.65,0.72,0.68,1409,0.69,0.38,0.49,587,3907
svm,{'C': 1.0| 'kernel': 'rbf'| 'max_iter': 50000},BoW|CET,0.7,0.64,0.69,0.75,0.79,0.77,1911,0.65,0.71,0.68,1409,0.65,0.38,0.48,587,3907
svm,{'C': 1.0| 'kernel': 'rbf'| 'max_iter': 50000},BoW|PoS|CET,0.7,0.64,0.69,0.75,0.79,0.77,1911,0.65,0.71,0.68,1409,0.66,0.39,0.48,587,3907
svm,{'C': 1.0| 'kernel': 'rbf'| 'max_iter': 50000},BoW,0.7,0.64,0.69,0.74,0.8,0.77,1911,0.65,0.71,0.68,1409,0.68,0.37,0.48,587,3907
lr,{'C': 0.001| 'penalty': 'l2'},BoW|PoS|CET,0.68,0.63,0.68,0.74,0.77,0.76,1911,0.63,0.68,0.66,1409,0.59,0.41,0.48,587,3907
lr,{'C': 0.001| 'penalty': 'l2'},BoW|PoS,0.68,0.63,0.68,0.74,0.77,0.76,1911,0.63,0.68,0.66,1409,0.59,0.41,0.48,587,3907
lr,{'C': 0.001| 'penalty': 'l2'},BoW|CET,0.68,0.63,0.68,0.74,0.77,0.76,1911,0.64,0.68,0.66,1409,0.58,0.41,0.48,587,3907
lr,{'C': 0.001| 'penalty': 'l2'},BoW,0.68,0.63,0.67,0.73,0.76,0.75,1911,0.63,0.67,0.65,1409,0.58,0.41,0.48,587,3907
bnb,{},BoW|CET,0.66,0.63,0.66,0.78,0.65,0.71,1911,0.61,0.69,0.65,1409,0.5,0.61,0.55,587,3907
bnb,{},BoW|PoS,0.65,0.63,0.66,0.78,0.64,0.7,1911,0.6,0.69,0.64,1409,0.5,0.59,0.54,587,3907
bnb,{},BoW|PoS|CET,0.65,0.63,0.66,0.77,0.64,0.7,1911,0.61,0.68,0.64,1409,0.49,0.62,0.55,587,3907
bnb,{},BoW,0.65,0.63,0.66,0.77,0.65,0.7,1911,0.6,0.7,0.65,1409,0.5,0.57,0.54,587,3907
cnb,{},BoW,0.65,0.6,0.65,0.75,0.69,0.72,1911,0.58,0.69,0.63,1409,0.51,0.4,0.45,587,3907
cnb,{},BoW|PoS,0.65,0.61,0.65,0.75,0.69,0.72,1911,0.59,0.69,0.64,1409,0.51,0.42,0.46,587,3907
